option_id,question_id,option_text_bm,option_text_en,is_correct,order
154,38,Al-Baqarah,Al-Baqarah,1,NULL
155,38,Al-Fatihah,Al-Fatihah,0,NULL
156,38,An-Nisa,An-Nisa,0,NULL
157,38,Al-Kahfi,Al-Kahfi,0,NULL
158,39,Al-Kawthar,Al-Kawthar,1,NULL
159,39,Al-Asr,Al-Asr,0,NULL
160,39,Al-Ikhlas,Al-Ikhlas,0,NULL
161,39,Al-Falaq,Al-Falaq,0,NULL
162,40,Abu Bakar As-Siddiq,Abu Bakar As-Siddiq,1,NULL
163,40,Umar bin Khattab,Umar bin Khattab,0,NULL
164,40,Uthman bin Affan,Uthman bin Affan,0,NULL
165,40,Ali bin Abi Talib,Ali bin Abi Talib,0,NULL
166,41,Gua Hira,Cave Hira,1,NULL
167,41,Gua Thawr,Cave Thawr,0,NULL
168,41,Masjidil Haram,Masjid Al-Haram,0,NULL
169,41,Madinah,Medina,0,NULL
170,42,"Kata-kata, perbuatan, dan persetujuan Nabi Muhammad SAW","The words, actions, and approvals of Prophet Muhammad ?",1,NULL
171,42,Kitab yang diturunkan sebelum Al-Quran,A book revealed before the Quran,0,NULL
172,42,Syair Arab zaman Jahiliyah,Poetry from the Jahiliyyah era,0,NULL
173,42,Doa-doa dalam Islam,Supplications in Islam,0,NULL
174,43,Imam Bukhari,Imam Bukhari,1,NULL
175,43,Imam Muslim,Imam Muslim,0,NULL
176,43,Imam Abu Daud,Imam Abu Dawood,0,NULL
177,43,Imam Tirmizi,Imam Tirmidhi,0,NULL
178,44,Malaikat Jibrail datang kepada Nabi Muhammad SAW di Gua Hira.,Angel Jibril came to Prophet Muhammad ? in Cave Hira.,1,1
179,44,"Jibrail menyuruh Nabi membaca dengan wahyu pertama, ""Iqra'!""","Jibril commanded the Prophet to read with the first revelation, ""Iqra'!""",1,2
180,44,Nabi Muhammad SAW pulang ke rumah dalam keadaan ketakutan.,Prophet Muhammad ? returned home in fear,1,3
181,44,Khadijah menenangkan Nabi dan membawanya berjumpa Waraqah bin Naufal.,Khadijah calmed the Prophet and took him to meet Waraqah bin Naufal.,1,4
182,45,Al-Quran dihafal dan ditulis di pelbagai medium seperti kulit dan batu.,The Quran was memorized and written on various materials like leather and stone.,1,1
183,45,Khalifah Abu Bakar As-Siddiq mengarahkan pengumpulan ayat-ayat Al-Quran selepas Perang Yamamah.,Caliph Abu Bakr As-Siddiq ordered the collection of Quranic verses after the Battle of Yamamah.,1,2
184,45,Khalifah Uthman bin Affan menyalin dan menyebarkan satu mushaf rasmi ke seluruh wilayah Islam.,Caliph Uthman bin Affan copied and distributed an official Mushaf across Islamic regions.,1,3
185,45,"Hari ini, Al-Quran dicetak dan disebarkan dalam pelbagai bahasa di seluruh dunia.","Today, the Quran is printed and distributed in various languages worldwide.",1,4
186,46,Dibenarkan oleh syarak,Permissible in Islamic law,1,NULL
187,46,Perkara yang dilarang,Forbidden things,0,NULL
188,46,Tidak mempunyai hukum,Neutral with no ruling,0,NULL
189,46,Wajib dilakukan,Mandatory to do,0,NULL
190,47,Dilarang oleh syarak,Forbidden by Islamic law,1,NULL
191,47,Dibenarkan dengan syarat,Allowed with conditions,0,NULL
192,47,Sesuatu yang digalakkan,Something encouraged,0,NULL
193,47,Sunat dilakukan,Recommended to do,0,NULL
194,48,Dicampur dengan bahan haram,Mixed with haram substances,1,NULL
195,48,Dimakan dengan tangan kiri,Eaten with the left hand,0,NULL
196,48,Dibeli daripada bukan Muslim,Bought from non-Muslims,0,NULL
197,48,Tidak disukai oleh seseorang,Disliked by someone,0,NULL
198,49,Riba (faedah),Usury (interest),1,NULL
199,49,Keuntungan daripada perniagaan halal,Profits from halal business,0,NULL
200,49,Menjual produk yang bermanfaat,Selling beneficial products,0,NULL
201,49,Berkongsi keuntungan dengan adil,Fair profit-sharing,0,NULL
202,50,Menjual arak dan judi,Selling alcohol and gambling,1,NULL
203,50,Bekerja sebagai petani,Working as a farmer,0,NULL
204,50,Mengajar di sekolah bukan Islam,Teaching in a non-Muslim school,0,NULL
205,50,Bekerja di syarikat antarabangsa,Working in an international company,0,NULL
206,51,Ia menindas dan menzalimi orang lain,It oppresses and harms others,1,NULL
207,51,Ia menguntungkan perniagaan,It benefits businesses,0,NULL
208,51,Ia meningkatkan ekonomi negara,It improves the country's economy,0,NULL
209,51,Ia memudahkan pinjaman,It makes borrowing easier,0,NULL
210,52,Harus jika makanan itu disediakan secara bersih,Allowed if the food is prepared cleanly,1,NULL
211,52,Haram dalam semua keadaan,Forbidden in all cases,0,NULL
212,52,Hanya dibolehkan jika dimakan di rumah,Allowed only if eaten at home,0,NULL
213,52,Wajib mengelakkannya,Obligatory to avoid it,0,NULL
214,53,Dibenarkan dengan syarat tidak berlebihan,Allowed under strict conditions and not excessively,1,NULL
215,53,Haram dalam semua keadaan,Forbidden in all situations,0,NULL
216,53,Hanya boleh makan jika doktor membenarkan,Allowed only if approved by a doctor,0,NULL
217,53,Tidak perlu kerana ada alternatif lain,Unnecessary because alternatives exist,0,NULL
218,54,HALAL,HALAL,0,NULL
219,54,HARAM,HARAM,1,NULL
220,55,HALAL,HALAL,1,NULL
221,55,HARAM,HARAM,0,NULL
222,56,HALAL,HALAL,0,NULL
223,56,HARAM,HARAM,1,NULL
224,57,HALAL,HALAL,1,NULL
225,57,HARAM,HARAM,0,NULL
226,58,HALAL,HALAL,0,NULL
227,58,HARAM,HARAM,1,NULL
228,59,HALAL,HALAL,0,NULL
229,59,HARAM,HARAM,1,NULL
230,60,Menyebut nama Allah sebelum penyembelihan.,Reciting the name of Allah before slaughtering,1,1
231,60,"Memotong saluran pernafasan, esofagus, dan saluran darah utama.","Cutting the respiratory tract, esophagus, and major blood vessels.",1,2
232,60,Menunggu darah mengalir sepenuhnya sebelum memproses daging.,Allowing the blood to drain completely before processing the meat.,1,3
233,60,Membersihkan daging dan menyimpannya mengikut syariat Islam.,Cleaning the meat and storing it according to Islamic guidelines.,1,4
234,61,Perangai dan tingkah laku seseorang,A persons character and behavior,1,NULL
235,61,Ilmu berkaitan fiqh,Knowledge related to Islamic jurisprudence,0,NULL
236,61,Hubungan dengan manusia sahaja,Relationship with humans only,0,NULL
237,61,Amalan ibadah yang khusus,Specific acts of worship,0,NULL
238,62,Nabi Muhammad SAW,Prophet Muhammad ?,1,NULL
239,62,Abu Lahab,Abu Lahab,0,NULL
240,62,Firaun,Pharaoh,0,NULL
241,62,Qarun,Qarun,0,NULL
242,63,Jujur dan amanah,Honest and trustworthy,1,NULL
243,63,Sombong dan angkuh,Arrogant and boastful,0,NULL
244,63,Pemarah dan pendendam,Short-tempered and vengeful,0,NULL
245,63,Pentingkan diri sendiri,Self-centered,0,NULL
246,64,Berkata dengan lemah lembut dan jujur,Speak kindly and honestly,1,NULL
247,64,Menjerit dan menggunakan kata-kata kasar,Shouting and using harsh words,0,NULL
248,64,Memotong percakapan orang lain,Interrupting others' conversations,0,NULL
249,64,Menghina pendapat orang lain,Insulting other people's opinions,0,NULL
250,65,Menghormati dan membantu mereka,Respect and help them,1,NULL
251,65,Tidak perlu mengambil tahu tentang mereka,Do not care about them,0,NULL
252,65,Boleh menyakiti mereka jika perlu,Can harm them if necessary,0,NULL
253,65,Tidak wajib berbuat baik kepada mereka,Not required to be good to them,0,NULL
254,66,Membaca doa sebelum makan dan berkongsi dengan orang lain,Recite a prayer before eating and share with others,1,NULL
255,66,Makan dengan gelojoh dan tidak bersyukur,Eat hastily and be ungrateful,0,NULL
256,66,Membazir makanan dan tidak menghargainya,Waste food and not appreciate it,0,NULL
257,66,Makan dengan tangan kiri dan bercakap ketika makanan di mulut,Eat with the left hand and talk while chewing,0,NULL
258,67,Mengawal diri dan beristighfar,Control oneself and seek forgiveness,1,NULL
259,67,Melepaskan kemarahan tanpa kawalan,Release anger without restraint,0,NULL
260,67,Membalas dengan lebih marah,Respond with more anger,0,NULL
261,67,Menghina orang lain untuk melepaskan tekanan,Insult others to release stress,0,NULL
262,68,Ikhlas dan berjanji untuk tidak mengulanginya,Be sincere and promise not to repeat it,1,NULL
263,68,Hanya berkata maaf tanpa penyesalan,Just say sorry without regret,0,NULL
264,68,Tidak perlu meminta maaf jika tidak ketahuan,No need to apologize if no one finds out,0,NULL
265,68,Membalas dengan kemarahan jika tidak diterima,Respond with anger if not forgiven,0,NULL
266,69,Menghormati dan berbakti kepada mereka,Respect and be dutiful to them,1,NULL
267,69,Hanya mendengar kata-kata mereka jika bersetuju,Only listen to them if you agree,0,NULL
268,69,Boleh meninggikan suara jika marah,Can raise your voice when angry,0,NULL
269,69,Tidak perlu menjaga mereka ketika tua,No need to care for them when they are old,0,NULL
270,70,Bersabar dan berdoa kepada Allah,Be patient and pray to Allah,1,NULL
271,70,Membalas dengan hinaan yang lebih teruk,Respond with worse insults,0,NULL
272,70,Menyebarkan keburukan mereka kepada orang lain,Spread their faults to others,0,NULL
273,70,Berhenti berkomunikasi dengan semua orang,Stop communicating with everyone,0,NULL
274,71,BETUL,TRUE,0,NULL
275,71,SALAH,FALSE,1,NULL
276,72,BETUL,TRUE,1,NULL
277,72,SALAH,FALSE,0,NULL
278,73,BETUL,TRUE,0,NULL
279,73,SALAH,FALSE,1,NULL
280,74,BETUL,TRUE,0,NULL
281,74,SALAH,FALSE,1,NULL
282,75,BETUL,TRUE,1,NULL
283,75,SALAH,FALSE,0,NULL
284,76,Hormat dan bercakap dengan lemah lembut,Respect and speak kindly,1,NULL
285,76,Berkasar jika tidak bersetuju,Be rude if you disagree,0,NULL
286,76,Bercakap dengan suara yang kuat dan tegas,Speak loudly and firmly,0,NULL
287,76,Tidak perlu menjaga kata-kata,No need to be mindful of words,0,NULL
288,77,Mengucapkan "السَّلَامُ عَلَيْكُمْ" dengan ikhlas,Sincerely say "السَّلَامُ عَلَيْكُمْ",1,NULL
289,77,Hanya mengangguk kepala tanpa berkata apa-apa,Just nod without speaking,0,NULL
290,77,Mengangkat tangan sahaja tanpa ucapan,Raise the hand without speaking,0,NULL
291,77,Memberi salam hanya kepada orang yang dikenali,Only greet people you know,0,NULL
292,78,Membantu mereka dengan sedekah dan menghormati mereka,Help them with charity and respect,1,NULL
293,78,Tidak bergaul dengan mereka kerana mereka miskin,Avoid them because they are poor,0,NULL
294,78,Menghina mereka kerana kekurangan harta,Insult them for their lack of wealth,0,NULL
295,78,Hanya membantu jika ada orang melihat,Only help if others are watching,0,NULL
296,79,Berbuat baik dan menghormati mereka,Be kind and respectful towards them,1,NULL
297,79,Tidak perlu berhubung dengan mereka,Avoid interacting with them,0,NULL
298,79,Menunjukkan kebencian kepada mereka,Show hatred towards them,0,NULL
299,79,Hanya bercakap dengan mereka apabila perlu,Only speak to them when necessary,0,NULL
300,80,Berdebat dengan adab dan tanpa menghina,Debate with manners and without insults,1,NULL
301,80,Meninggikan suara supaya pendapat kita diterima,Raise our voice so our opinion is accepted,0,NULL
302,80,Menghina pendapat orang lain jika salah,Insult others' opinions if they are wrong,0,NULL
303,80,Tidak perlu mendengar pandangan orang lain,No need to listen to others' views,0,NULL
304,81,Mengucapkan salam atau kata-kata yang baik,Say salam or kind words,1,NULL
305,81,Terus berlalu tanpa berkata apa-apa,Walk away without saying anything,0,NULL
306,81,Mengabaikan mereka tanpa sebarang penghormatan,Ignore them without any respect,0,NULL
307,81,Memarahi mereka sebelum pergi,Scold them before leaving,0,NULL
308,82,Menerima dengan hati terbuka jika ia membina,Accept it with an open heart if it is constructive,1,NULL
309,82,Marah dan menyerang balik orang yang mengkritik,Get angry and attack the critic,0,NULL
310,82,Tidak mengambil peduli apa yang orang lain kata,Ignore all feedback,0,NULL
311,82,Memutuskan hubungan dengan orang yang mengkritik kita,Cut ties with the critic,0,NULL
312,83,Berbincang dengan hikmah dan adab,Discuss with wisdom and etiquette,1,NULL
313,83,Menjerit dan memaksa pendapat kita diterima,Shout and force others to accept our view,0,NULL
314,83,Menghina orang yang tidak bersetuju dengan kita,Insult those who disagree,0,NULL
315,83,Memutuskan hubungan dengan mereka yang berbeza pandangan,Cut ties with those who have different views,0,NULL
316,84,Mengucapkan "يَرْحَمُكَ اللَّهُ" jika dia seorang Muslim,Say "يَرْحَمُكَ اللَّهُ" if they are Muslim,1,NULL
317,84,Mengabaikan mereka kerana ia bukan perkara penting,Ignore them because it is not important,0,NULL
318,84,Menjauhkan diri kerana takut terkena jangkitan,Distance yourself due to fear of infection,0,NULL
319,84,Marah kerana bunyi bersin mengganggu,Get angry because the sneeze is annoying,0,NULL
320,85,Memberi hadiah dengan ikhlas tanpa mengharap balasan,Give gifts sincerely without expecting anything in return,1,NULL
321,85,Hanya memberi hadiah kepada orang yang kaya,Only give gifts to wealthy people,0,NULL
322,85,Menyebut-nyebut hadiah yang telah diberikan,Brag about the gifts given,0,NULL
323,85,Memberi hadiah hanya jika orang lain memberi terlebih dahulu,Only give a gift if the other person gives first,0,NULL
324,86,BETUL,TRUE,0,NULL
325,86,SALAH,FALSE,1,NULL
326,87,BETUL,TRUE,1,NULL
327,87,SALAH,FALSE,0,NULL
328,88,BETUL,TRUE,0,NULL
329,88,SALAH,FALSE,1,NULL
330,89,BETUL,TRUE,0,NULL
331,89,SALAH,FALSE,1,NULL
332,90,BETUL,TRUE,1,NULL
333,90,SALAH,FALSE,0,NULL
334,91,Roh akan memasuki alam Barzakh,The soul enters the realm of Barzakh,1,NULL
335,91,Kehidupan terus berulang seperti biasa,Life continues as usual,0,NULL
336,91,Roh akan hilang dan tidak wujud lagi,The soul disappears and ceases to exist,0,NULL
337,91,Seseorang boleh memilih untuk hidup semula,A person can choose to be reborn,0,NULL
338,92,Alam Barzakh,Barzakh Realm,1,NULL
339,92,Alam Dunia,Worldly Life,0,NULL
340,92,Alam Syurga,Paradise Realm,0,NULL
341,92,Alam Neraka,Hell Realm,0,NULL
342,93,Hari Kiamat,The Day of Judgment,1,NULL
343,93,Hari Raya,Festival Day,0,NULL
344,93,Hari Kelahiran,Birth Day,0,NULL
345,93,Hari Pembalasan,Day of Revenge,0,NULL
346,94,8 Tingkatan,8 Levels,1,NULL
347,94,3 Tingkatan,3 Levels,0,NULL
348,94,10 Tingkatan,10 Levels,0,NULL
349,94,7 Tingkatan,7 Levels,0,NULL
350,95,Jahannam,Jahannam,1,NULL
351,95,Saqar,Saqar,0,NULL
352,95,Hutamah,Hutamah,0,NULL
353,95,Lazha,Lazha,0,NULL
354,96,Mereka akan dihisab atas segala amalan mereka,They will be judged for all their deeds,1,NULL
355,96,Mereka akan kembali hidup di dunia,They will return to live in the world,0,NULL
356,96,Mereka boleh memilih untuk masuk ke syurga atau neraka,They can choose to enter Paradise or Hell,0,NULL
357,96,Semua manusia akan terus masuk ke syurga tanpa hisab,All humans will enter Paradise without judgment,0,NULL
358,97,Semua manusia akan melaluinya untuk menuju ke syurga atau neraka,Everyone must cross it to reach Paradise or Hell,1,NULL
359,97,Hanya orang yang berdosa perlu melaluinya,Only sinners must cross it,0,NULL
360,97,Ia hanya boleh dilalui oleh para nabi,Only prophets can cross it,0,NULL
361,97,Orang yang kaya tidak perlu melaluinya,Wealthy people do not need to cross it,0,NULL
362,98,Mizan,Mizan,1,NULL
363,98,Sirat,Sirat,0,NULL
364,98,Barzakh,Barzakh,0,NULL
365,98,Mahsyar,Mahsyar,0,NULL
366,99,Al-Kawthar,Al-Kawthar,1,NULL
367,99,Zamzam,Zamzam,0,NULL
368,99,Al-Salsabil,Al-Salsabil,0,NULL
369,99,Al-Firdaus,Al-Firdaus,0,NULL
370,100,Ar-Rayyan,Ar-Rayyan,1,NULL
371,100,As-Sirat,As-Sirat,0,NULL
372,100,Al-Firdaus,Al-Firdaus,0,NULL
373,100,Al-Kauthar,Al-Kauthar,0,NULL
374,101,Beriman kepada Allah dan beramal soleh,Believe in Allah and perform righteous deeds,1,NULL
375,101,Kaya dan berjaya dalam kehidupan dunia,Be rich and successful in worldly life,0,NULL
376,101,Tidak pernah sakit semasa hidup,Never fall sick in life,0,NULL
377,101,Dilahirkan dalam keluarga Muslim,Be born into a Muslim family,0,NULL
378,102,Kenikmatan yang tidak pernah dilihat atau dirasakan di dunia,Pleasures never seen or felt in the world,1,NULL
379,102,Hanya makanan dan minuman yang lazat,Only delicious food and drinks,0,NULL
380,102,Hanya kehidupan yang panjang,Only a long life,0,NULL
381,102,Hanya pakaian dan istana emas,Only golden clothes and palaces,0,NULL
382,103,Diletakkan bara api di bawah tapak kaki sehingga mendidih otak,A burning coal placed under the feet causing the brain to boil,1,NULL
383,103,Diberikan pakaian daripada api,Being clothed in fire,0,NULL
384,103,Dipaksa minum air panas mendidih,Being forced to drink boiling water,0,NULL
385,103,Dihumban ke dalam lautan api,Being thrown into a sea of fire,0,NULL
386,104,Bertaubat dengan ikhlas kepada Allah,Sincerely repent to Allah,1,NULL
387,104,Membantu orang kaya menjadi lebih kaya,Help rich people become richer,0,NULL
388,104,Mengumpul banyak harta tanpa menggunakannya,Accumulate wealth without using it,0,NULL
389,104,Tidak bercakap dengan orang lain sepanjang hidup,Never talk to anyone in life,0,NULL
390,105,Roh keluar dari jasad pada saat kematian.,The soul leaves the body at the moment of death.,1,1
391,105,Roh memasuki alam Barzakh untuk menunggu Hari Kiamat.,The soul enters Barzakh to wait for Judgment Day.,1,2
392,105,Hari Kiamat berlaku dan manusia dibangkitkan untuk dihisab.,"Judgment Day occurs, and all humans are resurrected for judgment.",1,3
393,105,Amalan ditimbang di Mizan dan keputusan diberikan sama ada ke syurga atau neraka.,"Deeds are weighed on the Mizan, and the final judgment is given for Paradise or Hell.",1,4
394,105,"Penghuni syurga menikmati kenikmatan abadi, sementara penghuni neraka mengalami azab.","The people of Paradise enjoy eternal bliss, while those in Hell suffer punishment.",1,5
395,106,Cahaya,Light,1,NULL
396,106,Tanah,Earth,0,NULL
397,106,Api,Fire,0,NULL
398,106,Air,Water,0,NULL
399,107,10 malaikat,10 angels,1,NULL
400,107,7 malaikat,7 angels,0,NULL
401,107,12 malaikat,12 angels,0,NULL
402,107,99 malaikat,99 angels,0,NULL
403,108,Malaikat tidak mempunyai nafsu dan tidak melakukan dosa,Angels have no desires and do not sin,1,NULL
404,108,Malaikat lebih kuat daripada manusia tetapi mempunyai nafsu,Angels are stronger than humans but have desires,0,NULL
405,108,Malaikat boleh memilih untuk taat atau ingkar kepada Allah,Angels can choose to obey or disobey Allah,0,NULL
406,108,Malaikat mempunyai umur yang terhad seperti manusia,Angels have limited lifespans like humans,0,NULL
407,109,"Dua, tiga, atau empat","Two, three, or four",1,NULL
408,109,Hanya dua,Only two,0,NULL
409,109,Tujuh,Seven,0,NULL
410,109,Tidak mempunyai sayap,They have no wings,0,NULL
411,110,Jibril,Jibril,1,NULL
412,110,Mikail,Mikail,0,NULL
413,110,Israfil,Israfil,0,NULL
414,110,Raqib,Raqib,0,NULL
415,111,Amalan baik manusia,Good deeds of humans,1,NULL
416,111,Amalan buruk manusia,Bad deeds of humans,0,NULL
417,111,Hanya amalan solat,Only prayer deeds,0,NULL
418,111,Hanya amalan puasa,Only fasting deeds,0,NULL
419,112,Menyoal manusia di dalam kubur,Questioning humans in the grave,1,NULL
420,112,Menimbang amalan manusia,Weighing human deeds,0,NULL
421,112,Membantu manusia masuk ke syurga,Helping humans enter Paradise,0,NULL
422,112,Memberi rezeki kepada manusia,Providing sustenance to humans,0,NULL
