question_id,lesson_id,question_type,question_text_bm,question_text_en,level
175,12,mcq,"Jika seseorang mandi wajib tetapi terlupa membasuh rambut, apakah yang perlu dilakukan?","If someone performs ghusl but forgets to wash their hair, what should they do?",2
176,12,binary,Tidak membaca niat sebelum mandi wajib menyebabkan mandi menjadi tidak sah.,Not making an intention before ghusl makes it invalid.,2
177,12,binary,"Jika terdapat bahagian badan yang tidak terkena air, mandi wajib menjadi tidak sah.","If any part of the body remains dry, ghusl becomes invalid.",2
178,12,binary,Seseorang yang berhadas besar boleh membaca Al-Quran sebelum mandi wajib.,A person in a state of major impurity can recite the Quran before performing ghusl.,2
179,12,binary,Mandi wajib hanya perlu dilakukan selepas bersetubuh atau haid.,Ghusl is only required after sexual intercourse or menstruation.,2
180,12,ordered,Susun langkah-langkah rukun mandi wajib dalam tertib yang betul.,Arrange the obligatory steps of ghusl in the correct order.,2
181,13,mcq,Apakah bacaan yang wajib dibaca dalam setiap rakaat solat?,What is the obligatory recitation in every rak'ah of prayer?,2
182,13,mcq,Apakah niat solat dalam Islam perlu dilafazkan secara lisan?,Is it necessary to verbalize the intention (niyyah) for prayer in Islam?,2
183,13,mcq,Apakah yang boleh membatalkan solat seseorang?,Which of the following invalidates a person's prayer?,2
184,13,mcq,Berapakah jumlah rakaat bagi solat fardu dalam sehari?,How many total rak'ahs (units) are there in the five daily prayers?,2
185,13,mcq,Apakah hukum solat berjemaah bagi lelaki?,What is the ruling on performing congregational prayer for men?,2
186,13,mcq,Apakah yang perlu dilakukan jika tertinggal satu rakaat dalam solat berjemaah?,What should be done if one misses a rak'ah in congregational prayer?,2
187,13,mcq,Apakah bacaan yang disunatkan dalam rakaat kedua solat Subuh sebelum rukuk?,What is the recommended recitation in the second rak'ah of Fajr prayer before bowing (rukuk)?,2
188,13,mcq,Apakah hukum meninggalkan solat dengan sengaja tanpa sebab?,What is the ruling for deliberately abandoning prayer without a valid reason?,2
189,13,mcq,Apakah hikmah solat dalam kehidupan seorang Muslim?,What is the wisdom of prayer in a Muslim's life?,2
190,13,binary,Meninggalkan solat fardu dengan sengaja tanpa sebab adalah dosa besar.,Deliberately abandoning obligatory prayer without a valid reason is a major sin.,2
191,13,binary,"Jika seseorang terlupa membaca tahiyat awal dalam solat, solatnya batal dan perlu diulang dari awal.","If someone forgets to recite the first tashahhud in prayer, their prayer is invalid and must be restarted.",2
192,13,binary,"Sujud sahwi dilakukan jika terdapat kesilapan kecil dalam solat, seperti terlupa rukun sunat.","Sujud sahwi is performed when there is a minor mistake in prayer, such as forgetting a sunnah action.",2
193,13,binary,Lelaki wajib solat berjemaah di masjid dalam semua keadaan tanpa pengecualian.,Men are obligated to pray in congregation at the mosque in all situations without exception.,2
194,13,binary,Solat boleh dilakukan dalam keadaan duduk jika seseorang tidak mampu berdiri.,Prayer can be performed while sitting if a person is unable to stand.,2
195,13,ordered,Susun rukun solat mengikut tertib yang betul.,Arrange the pillars of prayer in the correct order.,2
196,14,mcq,Apakah solat sunat yang dilakukan apabila seseorang menghadapi kesukaran dan memohon pertolongan Allah?,What is the voluntary prayer performed when facing difficulty and seeking Allah's help?,2
197,14,mcq,Apakah yang perlu dilakukan jika seseorang tertidur dan terlepas solat fardu?,What should be done if someone sleeps through and misses an obligatory prayer?,2
198,14,mcq,Solat sunat boleh dilakukan pada bila-bila masa kecuali dalam waktu yang dilarang. Bila waktu larangan ini?,Voluntary prayers can be performed at any time except during forbidden times. When are these times?,2
199,14,mcq,Apakah solat sunat yang dianjurkan dilakukan secara berjemaah di bulan Ramadan?,Which voluntary prayer is recommended to be performed in congregation during Ramadan?,2
200,14,mcq,Apakah kelebihan melakukan solat sunat Tahajjud?,What is the benefit of performing the Tahajjud prayer?,2
201,14,mcq,Bilakah waktu terbaik untuk menunaikan solat Dhuha?,When is the best time to perform Dhuha prayer?,2
202,14,mcq,Berapakah jumlah rakaat minimum solat sunat Rawatib?,What is the minimum number of rak'ahs for Rawatib voluntary prayers?,2
203,14,mcq,Apakah solat sunat yang dilakukan untuk memohon petunjuk daripada Allah sebelum membuat keputusan?,Which voluntary prayer is performed to seek guidance from Allah before making a decision?,2
204,14,mcq,"Jika seseorang tidak mampu menunaikan solat berdiri, apakah yang harus dilakukan?","If a person is unable to perform prayer while standing, what should they do?",2
205,14,mcq,Manakah solat yang boleh dilakukan sebagai qada'?,Which prayer can be performed as qada' (make-up prayer)?,2
206,14,binary,"Jika seseorang terlupa solat Witir selepas Isyak, dia boleh mengqada'nya sebelum Subuh.","If someone forgets to perform Witir after Isha, they can make it up before Fajr.",2
207,14,binary,"Solat sunat Rawatib hanya boleh dilakukan selepas solat fardu, bukan sebelumnya.","Rawatib voluntary prayers can only be performed after obligatory prayers, not before.",2
208,14,binary,Solat sunat boleh dilakukan walaupun tanpa wudhu.,Voluntary prayers can be performed even without wudhu.,2
209,14,binary,Solat sunat Dhuha hanya boleh dilakukan sebelum Subuh.,Dhuha prayer can only be performed before Fajr.,2
210,14,binary,Solat sunat Tahajjud hanya boleh dilakukan selepas tidur.,Tahajjud prayer can only be performed after sleeping.,2
211,15,mcq,Apakah syarat wajib berpuasa Ramadan?,What are the requirements for fasting in Ramadan?,2
212,15,mcq,Apakah perkara yang boleh membatalkan puasa?,Which of the following invalidates the fast?,2
213,15,mcq,"Jika seseorang makan atau minum kerana terlupa, apakah hukumnya?","If someone eats or drinks by mistake while fasting, what is the ruling?",2
214,15,mcq,Apakah keutamaan bersahur?,What is the significance of having suhoor?,2
215,15,mcq,Apakah yang perlu dilakukan jika jatuh sakit dan tidak mampu berpuasa?,What should be done if someone falls ill and is unable to fast?,2
216,15,mcq,Malam apakah yang lebih baik daripada 1000 bulan dan disambut dalam bulan Ramadan?,Which night in Ramadan is better than 1000 months?,2
217,15,mcq,Apakah amalan sunat ketika berpuasa?,What are the recommended acts while fasting?,2
218,15,mcq,Bagaimana cara menggantikan puasa bagi orang yang uzur seperti sakit kronik atau tua?,How should a person with a chronic illness or old age compensate for missed fasting?,2
219,15,mcq,Apakah kelebihan berpuasa di bulan Ramadan?,What is the benefit of fasting in Ramadan?,2
220,15,binary,Niat berpuasa boleh dilakukan dalam hati tanpa perlu dilafazkan secara kuat.,The intention to fast can be made in the heart without being verbally expressed.,2
221,15,binary,Wanita yang sedang haid atau nifas tidak perlu berpuasa dan wajib menggantikannya selepas Ramadan.,Women who are menstruating or experiencing postpartum bleeding do not have to fast and must make up for it after Ramadan.,2
222,15,binary,Berkumur dan memasukkan air ke dalam hidung ketika berwudhu semasa berpuasa boleh membatalkan puasa.,Rinsing the mouth and putting water into the nose while performing wudhu during fasting can break the fast.,2
223,15,binary,Puasa boleh dibatalkan jika seseorang jatuh sakit dan tidak mampu meneruskannya.,Fasting can be broken if someone falls ill and is unable to continue.,2
224,15,binary,Malam Lailatul Qadar hanya berlaku pada 10 malam terakhir Ramadan.,The Night of Qadr (Lailatul Qadr) only occurs in the last 10 nights of Ramadan.,2
